;path;path_without;group;xmin;ymin;xmax;ymax;category_codes
2308;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;197;336;229;365;2
2309;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;339;307;372;334;5
2310;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;453;379;488;407;5
2311;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;229;397;261;421;7
2312;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;213;525;268;554;2
2313;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000013_temp.jpg;group13000;569;124;622;155;4
2314;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;254;265;348;304;3
2315;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;249;205;289;234;2
2316;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;429;256;465;285;5
2317;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;127;384;154;417;7
2318;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;202;311;238;347;6
2319;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;375;148;415;179;2
2320;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000014_temp.jpg;group13000;150;115;194;145;5
2321;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;168;273;204;314;2
2322;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;265;373;299;399;5
2323;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;387;339;422;366;2
2324;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;528;432;563;465;6
2325;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;244;454;279;484;7
2326;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;192;178;230;217;6
2327;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000015_temp.jpg;group13000;273;231;300;265;5
2328;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_temp.jpg;group13000;49;115;79;141;2
2329;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_temp.jpg;group13000;133;407;172;444;2
2330;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_temp.jpg;group13000;500;234;531;259;5
2331;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_temp.jpg;group13000;521;518;546;552;5
2332;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000016_temp.jpg;group13000;171;543;201;573;6
2333;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;4;517;43;543;3
2334;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;577;403;627;427;3
2335;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;51;573;76;602;4
2336;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;389;64;417;90;2
2337;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;268;161;298;186;2
2338;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;518;179;547;216;5
2339;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;610;356;636;388;5
2340;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;346;234;375;260;6
2341;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;63;63;89;96;6
2342;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;511;28;540;54;7
2343;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000017_temp.jpg;group13000;53;594;81;618;7
2344;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;248;222;286;259;2
2345;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;192;128;218;157;2
2346;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;102;454;130;478;2
2347;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;33;578;64;610;2
2348;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;447;224;473;253;5
2349;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;408;310;441;342;5
2350;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;178;98;202;130;5
2351;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;202;383;236;410;5
2352;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;500;513;531;538;7
2353;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000018_temp.jpg;group13000;173;116;197;140;7
2354;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;472;333;510;359;3
2355;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;462;452;494;478;3
2356;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;609;479;639;511;3
2357;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;458;386;494;416;4
2358;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;377;486;429;512;4
2359;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;23;385;58;409;2
2360;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;209;580;243;608;2
2361;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;514;280;548;314;5
2362;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;504;397;535;430;5
2363;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;301;162;329;187;6
2364;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;537;595;567;619;6
2365;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;325;280;352;305;7
2366;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000019_temp.jpg;group13000;120;49;147;78;7
2367;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;98;176;130;210;3
2368;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;251;136;275;168;3
2369;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;328;111;361;145;4
2370;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;59;107;83;144;4
2371;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;388;166;418;206;4
2372;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;415;253;451;277;2
2373;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;264;290;295;316;2
2374;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;337;51;369;80;2
2375;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;128;38;160;65;6
2376;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;386;331;411;363;6
2377;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;378;256;407;286;7
2378;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000020_temp.jpg;group13000;435;124;466;160;7
2379;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;101;465;133;499;3
2380;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;292;245;353;276;3
2381;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;315;377;342;417;4
2382;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;320;208;378;237;4
2383;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;18;75;52;115;2
2384;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;141;394;172;420;2
2385;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;236;173;262;206;5
2386;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;477;199;509;232;5
2387;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;592;242;622;267;5
2388;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000021_temp.jpg;group13000;186;78;217;104;7
2389;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;397;230;431;260;3
2390;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;450;290;498;320;3
2391;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;68;72;105;104;4
2392;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;457;61;483;115;4
2393;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;202;70;235;97;2
2394;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;529;499;564;539;2
2395;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;164;74;192;98;5
2396;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;169;244;202;270;5
2397;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;89;322;124;350;6
2398;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;241;71;271;97;6
2399;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;342;84;371;112;7
2400;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000022_temp.jpg;group13000;185;28;216;52;7
2401;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;88;34;129;74;3
2402;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;562;48;595;78;3
2403;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;523;37;574;72;4
2404;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;25;155;73;185;4
2405;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;592;321;624;346;2
2406;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;70;319;97;355;2
2407;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;5;91;37;115;5
2408;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;144;9;178;33;5
2409;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;211;171;238;195;6
2410;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;540;343;569;368;6
2411;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;352;450;381;480;7
2412;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000023_temp.jpg;group13000;505;382;533;406;7
2413;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;44;472;83;501;3
2414;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;23;585;50;621;3
2415;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;53;40;88;66;4
2416;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;46;292;87;316;4
2417;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;261;306;294;333;2
2418;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;505;142;534;172;2
2419;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;432;133;461;158;6
2420;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;32;192;64;218;6
2421;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;190;88;219;115;7
2422;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;27;106;55;134;7
2423;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;51;64;80;88;5
2424;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000024_temp.jpg;group13000;9;35;41;60;5
2425;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;180;77;214;115;3
2426;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;13;178;60;208;3
2427;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;180;136;215;160;4
2428;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;213;289;259;323;4
2429;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;214;456;246;486;2
2430;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;511;93;545;118;2
2431;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;65;129;96;158;5
2432;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;11;47;44;71;5
2433;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;49;279;78;308;6
2434;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;299;190;326;220;6
2435;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;535;248;560;272;7
2436;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000025_temp.jpg;group13000;265;9;295;33;7
2437;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;165;117;193;154;3
2438;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;441;46;467;81;3
2439;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;136;29;179;71;4
2440;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;132;264;158;307;4
2441;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;379;110;416;145;2
2442;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;455;164;490;191;2
2443;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;186;99;219;124;5
2444;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;404;70;436;95;5
2445;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;231;180;267;205;6
2446;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;245;258;285;282;6
2447;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;347;139;385;170;7
2448;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000026_temp.jpg;group13000;26;40;52;67;7
2449;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;107;99;151;123;3
2450;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;30;28;65;72;3
2451;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;223;274;253;298;4
2452;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;346;45;383;80;4
2453;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;136;236;161;262;2
2454;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;72;487;103;519;2
2455;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;424;129;450;159;5
2456;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;452;200;482;226;5
2457;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;175;207;200;239;6
2458;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;214;339;243;365;6
2459;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;277;234;302;269;7
2460;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000027_temp.jpg;group13000;296;169;333;195;7
2461;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_temp.jpg;group13000;250;104;277;139;3
2462;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_temp.jpg;group13000;484;323;519;354;3
2463;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_temp.jpg;group13000;546;396;583;429;4
2464;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_temp.jpg;group13000;359;28;406;63;4
2465;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_test.jpg;.\data\deep_pcb_tangsali5201\group13000/13000/13000028_temp.jpg;group13000;54;80;87;104;2
